"","SRR3108953","SRR3108954","SRR3108955","SRR3108956","SRR3108957","SRR3108958","SRR3108959","SRR3108960","SRR3108961","SRR3108962","SRR3108963","SRR3108964","SRR3108965","SRR3108966","SRR3108967","SRR3108968","SRR3108969","SRR3108970","SRR3108971","SRR3108972","SRR3108973","SRR3108974","SRR3108975","SRR3108976","SRR3108977","SRR3108978","SRR3108979","SRR3108980","SRR3108981","SRR3108982","SRR3108983","SRR3108984","SRR3108985","SRR3108986","SRR3108987","SRR3108988","SRR3108989","SRR3108990","SRR3108991","SRR3108992","SRR3108993","SRR3108994","SRR3108995","SRR3108998","SRR3109009","SRR3109020","SRR3109031","SRR3109040"
"Mitochondria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00404633449698508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201727667648674,0.0806784857371368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.0483572380144985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.0479766085918441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.0477170885309434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.0465059949134068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142519168828207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00527434464299772,0,0,0.125012840267078,0,0,0,0,0,0,0
"Mitochondria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00317359568390987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176761372147601,0.0759130898427086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190690647892141,0,0,0,0,0,0.00801905132192846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497339460636111,0,0.00749871597329224,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.0440665063409402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.043149535459091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.0393605425699407,0,0,0.00648581870592474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.0413674977075728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.0411079776466721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.0403640201387567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158481315736967,0,0,0,0,0,0.00510303265940902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476780747369694,0,0.00441705187467899,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.039377843907334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0,0.0758260741720881,0,0,0,0,0.00517335891462245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.0375785048184225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moraxellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023373143687826,0,0,0,0,0,0.000972006220839813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0618575402104245,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.0362982058513123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mitochondria",0,0.00174172367992382,0,0.0083787857040333,0.0102784572431003,0,0,0,0,0,0,0,0.00575310014745341,0,0,0,0,0,0,0,0,0,0,0.0061851941162286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0,0.0670415701841438,0,0,0,0,0.00555022612032342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121141293503976,0,0,0,0,0,0.00869945567651633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379731527391462,0,0.00580380071905496,0,0,0,0,0,0,0
"Mitochondria",0,0.00189208831416184,0,0.00662049662695565,0.00931485187655968,0,0,0,0,0,0,0,0.00537842345717808,0,0,0,0,0,0,0,0,0,0,0.00723414516517965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142234130490551,0,0,0,0,0,0.00515163297045101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373382513000363,0,0.00482794042116076,0,0,0,0,0,0,0
"Moraxellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018527491947667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562643608658846,0,0,0,0,0,0,0,0,0
"Pseudomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458684300296518,0,0,0.00487930148947098,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123421600205228,0,0,0,0,0,0.00544323483670296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035554480590156,0,0.00457113507960966,0,0,0,0,0,0,0
"Enterobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00193826069606362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00249284945813325,0,0,0.082794042116076,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110024798335376,0,0,0,0,0,0.00359642301710731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363103156367154,0,0.00549563430919363,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134823133711484,0,0,0,0,0,0.00461702954898911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312008707219736,0,0.00436569080636877,0,0,0,0.0032034450162798,0,0,0
"Mitochondria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000872738813075214,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118340240675089,0.0497867235403892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacteriaceae",0,0,0,0,0.000370617448669483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045054973890682,0,0,0,0,0,0,0,0,0,0
"Mitochondria",0,0,0,0,0,0,0,0,0.00262980328379384,0,0,0,0,0,0,0,0,0,0.0451861130994989,0,0,0,0,0,0,0,0,0,0.00242940778207017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mitochondria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142811805775944,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122834173865282,0.0477206078379099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mitochondria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293557600761663,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146302491636291,0.0447214076246334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112590143374284,0,0,0,0,0,0.0031104199066874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343753779175233,0,0.00297894196199281,0,0,0,0,0,0,0
"Mitochondria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00269755633132339,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130324062515604,0.0450546520927753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mitochondria",0,0,0,0,0,0,0,0,0.00242218723507327,0,0,0,0,0,0,0,0,0,0.0445597709377237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131117635321951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00291269778792411,0,0,0.0749871597329224,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108599606647094,0,0,0,0,0,0.00383942457231726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301427016567904,0,0.00323574730354391,0,0,0,0,0,0,0
"Bacillaceae",0,0.000263138109916548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00877918079981758,0,0,0,0,0,0.00563763608087092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292961664046439,0,0.00436569080636877,0,0,0,0,0,0,0
"Enterobacteriaceae",0,0,0,0,0.000345909618758184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0360019942795665,0,0,0.00395480225988701,0,0,0,0,0,0,0
"Mitochondria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206283719454142,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123832825685325,0.0394894694748067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0.0132948184297402,0.017443727917377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mitochondria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126943827356395,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128326758875518,0.0389562783257798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moraxellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173873385970413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416918611682187,0,0,0,0,0,0,0,0,0
"Moraxellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225180286748568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409360261216592,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101188609868027,0,0,0,0,0,0.0057348367029549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255774579755714,0,0.00441705187467899,0,0,0,0,0,0,0
"Blattabacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521745696164301,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0.00822174425865538,0,0,0,0,0.0229423999320854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156313029447358,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0.0120030142098464,0.0172707731079979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00943476897642733,0,0,0,0,0,0.00383942457231726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271798282742774,0,0.00297894196199281,0,0,0,0,0,0,0
"Pseudomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351885381405967,0,0,0,0,0,0,0,0,0,0
"Pseudomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477280858676207,0,0,0,0,0,0,0,0,0,0,0,0
