"","5449-D1A","5449-D1B","5449-D3A","5449-D3B","5449-D5A","5449-D5B"
"Enterobacteriaceae",0.00283775447254781,0,0,0,0,0
"Enterobacteriaceae",0,0.00302195957289638,0,0,0,0
"Enterobacteriaceae",0,0.00302195957289638,0,0,0,0
"Burkholderiaceae",0,0,0,0,0,0.00232354004234006
"Streptococcaceae",0,0.00295480491572091,0,0,0,0
"Pseudomonadaceae",0,0.00295480491572091,0,0,0,0
"Enterobacteriaceae",0,0.00282049560136995,0,0,0,0
"Lactobacillaceae",0,0,0,0,0,0.00216863737285073
"Lactobacillaceae",0,0,0,0,0,0.00216863737285073
"Lactobacillaceae",0,0.00275334094419448,0,0,0,0
"Moraxellaceae",0,0.00275334094419448,0,0,0,0
"Enterobacteriaceae",0,0.002686186287019,0,0,0,0
"Enterobacteriaceae",0,0,0.00161430522786539,0,0,0
"NA",0,0,0.00153152034438512,0,0,0
"Enterobacteriaceae",0,0.00235041300114163,0,0,0,0
"Enterobacteriaceae",0.00209747069710056,0,0,0,0,0
"Enterobacteriaceae",0,0,0.0014073430191647,0,0,0
"Enterobacteriaceae",0,0.00221610368679068,0,0,0,0
"Lactobacillaceae",0,0,0,0.00135635018495684,0,0
"Enterobacteriaceae",0,0.0021489490296152,0,0,0,0
"Pseudomonadaceae",0,0.00201463971526425,0,0,0,0
"Enterobacteriaceae",0,0,0.00124177325220415,0,0,0
"NA",0,0,0,0,0,0.00154902669489338
"Lactobacillaceae",0,0,0,0,0,0.00154902669489338
"Pseudomonadaceae",0,0,0.00120038081046401,0,0,0
"Pseudomonadaceae",0,0,0.00120038081046401,0,0,0
"Pseudomonadaceae",0,0,0,0.00119194410193177,0,0
"Enterobacteriaceae",0,0,0,0,0,0.00149739247173026
"Lactobacillaceae",0,0,0,0,0,0.00144575824856715
"Lactobacillaceae",0,0,0,0,0,0.00144575824856715
"Enterobacteriaceae",0.00154225786551511,0,0,0,0,0
"Pseudomonadaceae",0,0,0,0.0010275380189067,0,0
"Pseudomonadaceae",0,0,0,0.000986436498150432,0,0
"Pseudomonadaceae",0,0,0,0.000986436498150432,0,0
"Moraxellaceae",0.0014188772362739,0,0,0,0,0
"Weeksellaceae",0.0014188772362739,0,0,0,0,0
"Enterobacteriaceae",0,0.00154455711503593,0,0,0,0
"Pseudomonadaceae",0,0,0.000331139533921106,0.000452116728318948,0,0.00020653689265245
"Pseudomonadaceae",0,0,0.000289747092180968,0.000328812166050144,0,0.0004130737853049
"Enterobacteriaceae",0,0,0,0,0,0.00118758713275159
"Moraxellaceae",0,0,0,0,0,0.00108431868642536
"Pseudomonadaceae",0,0,0.000827848834802765,0,0,0
"Pseudomonadaceae",0,0,0.000827848834802765,0,0,0
"Pseudomonadaceae",0,0,0.000413924417401383,0.000328812166050144,0,0.000103268446326225
"Moraxellaceae",0.00117211597779149,0,0,0,0,0
"Pseudomonadaceae",6.16903146206046e-05,0,0.000413924417401383,0,0.000501289028931538,0
"Enterobacteriaceae",0,0.00120878382915855,0,0,0,0
"Pseudomonadaceae",0.00104873534855028,0,0,0,0,0
"NA",0,0.00114162917198308,0,0,0,0
"Burkholderiaceae",0,0,0,0.000698725852856556,0,0
"Lactobacillaceae",0,0,0,0.000698725852856556,0,0
"Pseudomonadaceae",0,0,0,0,0.00121741621311945,0
"Moraxellaceae",0.000987045033929673,0,0,0,0,0
"Lactobacillaceae",0,0,0,0,0,0.000774513347446688
"Shewanellaceae",0.000863664404688464,0,0,0,0,0
"Moraxellaceae",0.000863664404688464,0,0,0,0,0
"Pseudomonadaceae",0,0,0.000579494184361935,0,0,0
"Pseudomonadaceae",0,0,0.000579494184361935,0,0,0
"Pseudomonadaceae",0,0,0.000289747092180968,0,0.000501289028931538,0
"Moraxellaceae",0,0,0,0,0,0.000722879124283575
"NA",0.000801974090067859,0,0,0,0,0
"Moraxellaceae",0,0.000873010543281177,0,0,0,0
"Pseudomonadaceae",0,0,0,0.000493218249075216,0,0
"Planococcaceae",0.00067859346082665,0,0,0,0,0
"Moraxellaceae",0,0.000738701228930226,0,0,0,0
"Pseudomonadaceae",0,0,0.000455316859141521,0,0,0
"Enterobacteriaceae",0,0,0,0,0,0.000567976454794238
"Pseudomonadaceae",0,0,0.000413924417401383,0,0,0
"Enterobacteriaceae",0,0,0,0,0.000716127184187912,0
"Enterobacteriaceae",0,0,0,0,0.000716127184187912,0
"Lactobacillaceae",0,0,0,0,0,0.000516342231631125
"Moraxellaceae",0.000555212831585441,0,0,0,0,0
"Lactobacillaceae",0,0,0,0,0.000644514465769121,0
"Enterobacteriaceae",0,0,0,0,0.000644514465769121,0
"Enterobacteriaceae",0,0,0.000331139533921106,0,0,0
"Enterobacteriaceae",0,0,0,0.000328812166050144,0,0
"Enterobacteriaceae",0,0,0,0,0.000572901747350329,0
"Rhizobiaceae",0,0,0,0,0,0.0004130737853049
"Enterococcaceae",0,0,0.000289747092180968,0,0,0
"Enterococcaceae",0,0,0,0.000287710645293876,0,0
"Lactobacillaceae",0,0,0,0.000287710645293876,0,0
"Burkholderiaceae",0,0,0,0.000287710645293876,0,0
"Burkholderiaceae",0,0,0,0.000287710645293876,0,0
"Pseudomonadaceae",0,0,0,0,0.000501289028931538,0
"Burkholderiaceae",0,0,0,0.000246609124537608,0,0
"NA",0,0,0,0.000164406083025072,0,0.000103268446326225
"Pseudomonadaceae",0,0,0,0,0.000429676310512747,0
"Enterobacteriaceae",0,0,0,0.000164406083025072,0,0
"Enterobacteriaceae",0.000123380629241209,0,0,0,0,0
"Enterobacteriaceae",0.000123380629241209,0,0,0,0,0
"Enterobacteriaceae",0,0.00013430931435095,0,0,0,0
"Enterobacteriaceae",0,0.00013430931435095,0,0,0,0
"Enterobacteriaceae",0,0.00013430931435095,0,0,0,0
"Carnobacteriaceae",0,0,0,0,0,0.000103268446326225
"NA",6.16903146206046e-05,0,0,0,0,0
"NA",6.16903146206046e-05,0,0,0,0,0
"NA",6.16903146206046e-05,0,0,0,0,0
